id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1277133154,"Top view close-up fork and spoon lie in white dirty plate, gray background, copy space. Dirty dishes after dinner",740,Russia,,household_waste,Household waste
1146674712,Plastic green bottle with a hard shadow.,741,Ukraine,,other,Other
917900258,Vegetable And Fruit Peelings On Table,742,Germany,,fruit_vegetables_consumption,Fruit vegetables consumption
1155496868,"Reusable zero waste textile product bag, top view on white background",743,Spain,,other,Other
1617781607,Kitchen fruit and vegetable waste in a compost bag,744,USA,,fruit_vegetables_consumption,Fruit vegetables consumption
1417786406,Close Up Of Using A Dispenser For Refilling In A Sustainable Plastic Free Shop,745,Slovenia,,other,Other
1495269761,Reuse coconut shell turn to plant pot,746,Australia,,other,Other
504899692,open dumpster full of trash,747,,,other,Other
1376006488,Food leftovers and soil on white background close-up top view.,748,South Korea,,other,Other
1415197919,Bins for segregated household garbage at home,749,Ukraine,,other,Other
1390858086,Mother and son preparing healthy salad at home.,750,Poland,,leftovers,Leftovers
183059916,Plastic water bottle,751,,,other,Other
173028858,squeezed,752,,,other,Other
1166298408,Metal rubbish bins near picnic area in the park,753,Australia,,other,Other
1401187893,"circular economy concept Increase energy use and CO2 emissions, share, reuse, repair, improve and recycle materials. Icon on a light bulb with a growing tree.",754,Thailand,,other,Other
1198960892,Pile of rotten oranges,755,Israel,,fruit_vegetables_production,Fruit vegetables production
1320209248,A Bunch Of Plastic Rubbish That Cannot Be Recycled.,756,Bulgaria,,other,Other
1214711862,Big yellow car  and chemical fertilizer,757,Thailand,,other,Other
1133799183,Bulky waste collection on the street,758,Germany,,other,Other
1479761789,Vegetarian vegan healthy ingredients and green smoothie on grey stone background,759,,,other,Other
1275781306,Empty dish with fork and spoon on background,760,Ukraine,,leftovers,Leftovers
1141671859,Portrait Of Male Owner Of Sustainable Plastic Free Grocery Store Behind Sales Desk,761,South Africa,,other,Other
1406869042,Flying multi-colored plastic utensils on a blue background.,762,Russia,,other,Other
462054243,Organic waste of fruits and fruit skins,763,,,fruit_vegetables_consumption,Fruit vegetables consumption
908521560,take away fast food box on pavement,764,China - East Asia|India|City of London|Western Europe|Romania,,other,Other
1393304003,Woman throwing vegetable cuttings in a compost bucket in kitchen.,765,Slovakia,,household_waste,Household waste
893057640,Full of plastic cup in recycle bin in the nature.,766,Thailand,,other,Other
658668632,Top view of home composting bin with kitchen scraps and other organic matter,767,UK,,household_waste,Household waste
1305107995,Group of coloured recycling bins on the street for paper plastic organic dry can and glass in Italy,768,Italy,,other,Other
1351601073,Sustainable lifestyles of  LGBTQIA people are composting kitchen waste-stock photo,769,Thailand,,leftovers,Leftovers
1052675642,Hand hold potato chips inside snack foil bag,770,Thailand,,other,Other
958770390,canned package old cluster pile,771,Thailand,,other,Other
1124648878,Dirty and empty foods box.,772,Germany,,household_waste,Household waste
1212759411,Dad is making compost from vegetable leftovers while his wife and his daughter are in the kitchen with him,773,Italy,,other,Other
1490082558,"Eco package product from recycled pulp carton. Nature protection, environmental conservation, zerowaste, eco-friendly concept.",774,Russia,,other,Other
1138436815,Environmental problems. Modern design.,775,,,other,Other
1395558157,Shot of a little girl carrying a recycling box outside,776,South Africa,,other,Other
1355684612,Throwing Away Leftover Food In Trash,777,Germany,,leftovers,Leftovers
598059108,Planet of the objects and debris,778,,,other,Other
1210230411,Bronken Eggs,779,Mexico|Merida - Mexico|Latin America,,other,Other
926389838,Fruits for sale on Arusha street. Tanzania.,780,Tanzania|Arusha Region|Africa,,other,Other
1355565767,Hands are holding composted earth,781,Belgium,,household_waste,Household waste
1307287043,Paper bag with food in a cartoon style isolated on white.,782,,,other,Other
901670600,Red Crushed Soda Can,783,USA,,other,Other
1168091937,cooking oil used for recycling,784,Brazil,,household_waste,Household waste
1179463838,Garbage from debris that is degraded Removal of the waste will increase the accumulation of waste in the storage area.,785,Amravati,,other,Other
1148262397,Millennial man putting organic waste in compost bin.,786,Quebec|Montréal|Canada,,other,Other
1769333438,Food waste,787,Canada,,household_waste,Household waste
1401733915,"Peeled vegetables in compost bin and letters on concrete background. Top view. Recycling scarps concept. Zero waste, Banner. Copy space",788,,,compost,Compost
542697954,Commercial Airplane Food Cart Compartments,789,,,other,Other
1384836509,Friends buying snacks at local shop,790,Mexico|Latin America,,other,Other
180818104,food scraps on top of compost pile horizontal,791,,,fruit_vegetables_consumption,Fruit vegetables consumption
1391407465,Disposable white plastic tableware on a beige background. The concept of nature pollution,792,Russia,,other,Other
175955912,broken fruit and vegetables,793,,,fruit_vegetables_production,Fruit vegetables production
1573632976,"Mandarin Seeds Isolated, Tangerine Seed Pile, Fresh Citrus Grains, Lemon Seeds Isolated on White Top View",794,,,other,Other
981769548,"Multiple meals ready to eat packaged in aluminum disposable food containers, take away healthy food restaurant concept. Healthy cooking, protein rich diet background, turkey fillets and salmon steaks.",795,Serbia,,packaging,Packaging
1149522735,"Female hand holding pink donut over yellow background. Top view, flat lay. Sweet, dessert, diet concept. Banner with copy space. Weight lost after holidays",796,,,other,Other
185090585,food,797,,,other,Other
1222273113,Person Throwing Pepperoni Pizza In Dustbin,798,Germany,,other,Other
1446051617,Pile of garbage on white background. Rubbish recycling,799,Ukraine,,fruit_vegetables_consumption,Fruit vegetables consumption
858765860,Person Throwing Cooked Pasta In Trash Bin,800,Germany,,leftovers,Leftovers
1200151535,Woman Scooping Nutrient Rich Compost into Wheelbarrow,801,USA|Pacific Northwest|Washington State,,compost,Compost
1158236441,bio waste in the bin,802,Germany,,fruit_vegetables_consumption,Fruit vegetables consumption
1289916635,Post-consumer waste at a material recovery facility,803,Canada,,other,Other
1195289829,sugar cane industry factory structure,804,Brazil,,other,Other
454996813,Uneaten Food in a Restaurant Dish Washing Sink,805,,,other,Other
1049959968,Top view of a pile of cooked french fries,806,UK,,other,Other
893863920,Fast food and unhealthy eating concept - hand throwing a burger in the trash on street,807,Russia,,other,Other
1147567219,Blue plastic bag on white background. Isolated,808,,,other,Other
836292448,white broken plates on a wooden floor,809,Germany,,other,Other
186067007,Compost bin,810,,,compost,Compost
1226040803,Rotten strawberries lying on a field ground. Garbage,811,Germany,,other,Other
1212759425,Young man is making compost from vegetable leftovers,812,Italy,,leftovers,Leftovers
1318875454,Holding eco plastic garbage bio bag in roll outdoors,813,USA,,other,Other
1280665966,Child with poor appetite during the meal. Concept of lack of appetite.,814,Brazil,,other,Other
638946434,Accident with Banana Peel,815,,,other,Other
696143542,Container full of domestic food waste,816,New Zealand,,fruit_vegetables_consumption,Fruit vegetables consumption
895534452,Start Writing Idea,817,Thailand,,other,Other
1327738987,Closeup of crushed egg shell scatted onto soil as organic fertilizers for baby vegetables,818,Malaysia,,compost,Compost
935356020,Rotten spoiled covered with mold onion bulb isolated,819,Rotsidan|Ukraine,,other,Other
1325836067,Used oil bottles,820,Spain,,household_waste,Household waste
1388825277,"Hands holding a green young plant, Organic waste and black soil with a copy space",821,Portugal,,fruit_vegetables_consumption,Fruit vegetables consumption
1433629719,Girl empies scraps of vegetables and fruits on compost heap outdoors in garden,822,Germany,,compost,Compost
1030004030,Rape plant in dried cracked mud or soil ground,823,Germany,,other,Other
1289915318,food is thrown in the trash,824,,,other,Other
1430120228,Food Waste. Compostable food scraps. Domestic organic waste for compost from fruits and vegetables. Recyclable materials. Separate waste collection. Compost bin with organic waste,825,Ukraine,,fruit_vegetables_consumption,Fruit vegetables consumption
1165099884,"Organic eco cotton bag, glass jar and recycled tableware on green background top view. Zero waste, eco friendly, plastic free concept. Flat lay.",826,Belarus,,other,Other
1439752572,cleaning of the water supply to the mill or to the hydroelectric power plant through the mesh grid. leaves and floating debris collected by the machine as a rake out would not clog,827,Czech Republic,,other,Other
1347229668,A lot of food waste and not only on the market on earth,828,Russia,,dumpsites,Dumpsites
1377410887,A female food factory worker carry trash bag on recycling.,829,Serbia,,other,Other
1141673277,Customer Paying For Shopping At Checkout Of Sustainable Plastic Free Grocery Store,830,South Africa,,other,Other
1160709716,Zero Waste Concepts,831,USA,,other,Other
1364809322,empty and dirty plate of breakfast leftovers on table.,832,,,leftovers,Leftovers
822413444,Agra rajasthan india,833,India|Asia,,dumpsites,Dumpsites
1301134536,Hand putting food scraps and egg shell as compost on a tomato seedling. Organic vegetable farming concept.,834,Philippines,,fruit_vegetables_consumption,Fruit vegetables consumption
1352426229,"french fries, potato fry isolated on white background, clipping path, full depth of field",835,,,other,Other
1155895603,Garage full and stuffed with old stuff and open in good weather for airing,836,Germany,,other,Other
1292451436,"Woman discards the bones and waste of a Thanksgiving turkey, into the trash can",837,USA,,leftovers,Leftovers
1142586251,"Zero waste, Recycling, Sustainable lifestyle concept, flat lay",838,,,other,Other
1084693258,Mikroplastik,839,Europe|Germany,,other,Other
1461675463,"Pile of organic waste for composting on white background, top view",840,Ukraine,,fruit_vegetables_consumption,Fruit vegetables consumption
180821138,genfood,841,,,other,Other
1480610292,"A pile of garbage on a street in Nantes, France, during strikes against raising the retirement age.",842,Nantes|Europe|Paris - France|France,,dumpsites,Dumpsites
83267409,Discarded room service dishes in hotel corridor,843,,,other,Other
1214984227,"Trendy ugly organic vegetables. Assortment of fresh eggplant, onion, carrot, zucchini on green background. Top view. Cooking ugly food concept. Non gmo vegetables",844,,,other,Other
1365805888,Plastic products in transparent cups and containers taken on a dark background,845,Japan,,other,Other
1139700836,Foil box cake packaging disposable,846,Thailand,,packaging,Packaging
1394231052,Driver throwing disposable coffee cup from car window,847,,,packaging,Packaging
1435908823,Disposable Single Use Plastin in Garbage Bin,848,Ukraine,,packaging,Packaging
171578687,time to eat,849,,,other,Other
1354127625,A rotting orange covered in mold. Damage to food in the warehouse.,850,Russia,,fruit_vegetables_production,Fruit vegetables production
1408375432,"Circular economy concept. Sharing,reusing,repairing,renovating and recycling existing materials and products as much possible. Energy consumption and CO2 emissions are increasing.",851,,,other,Other
1168563295,"Broken eggshell from a few eggs in the kitchen sink, a plate with a fork and spoon",852,Ukraine,,other,Other
1075010728,"Zero waste concept, sustanable lifestyle - glass and paper reusable packaging for grocery shopping",853,Ukraine,,other,Other
1193262318,"Zero waste lunch concept. Reusable cup and box, bamboo cutlery. Flat lay on green background",854,,,other,Other
