query,cluster,text,videosNumber,ids,querySlug
detox,8,tiktokphilippines,6,7059175358221815066|7092362592491949339|7160682310336007450|7194837310867819803|7296163878969314561|7318903557690887430,detox
detox,8,tiktok,11,7092195998360997146|7092161800610811162|7103754531342765338|7126399212798905626|7138065174740634907|7149067787980377370|7160682180467789083|7171809558099234054|7239454285711379718|7273622331384171781|7307404194766671109,detox
detox,8,tiktokph,9,7126376143069990171|7149067787980377370|7149062101095419162|7171954130318069018|7171952804162981147|7194837310867819803|7250630041791450373|7296163878969314561|7307398468543286534,detox
detox,8,tiktokfinds,9,7149067787980377370|7149012958654287130|7205321936820243738|7216849158941035781|7216848270956530970|7216837695258086661|7239486444006427909|7262133636986572038|7307399951800208646,detox
detox,8,tiktokshop,9,7149062101095419162|7149012958654287130|7183251080489356570|7194904729787321627|7205360340102548763|7205274504229063963|7250629057279167749|7273622331384171781|7296238621961604358,detox
detox,8,tiktokaffiliate,8,7149012958654287130|7160786232782490906|7183267002625150235|7205360340102548763|7239473312923929861|7239454285711379718|7262133636986572038|7296264831999413510,detox
detox,8,tiktokbudol,3,7171961920084380955|7171856782279724314|7250629057279167749,detox
detox,8,affiliatetiktok,3,7171807079416565018|7194953838862798106|7307386044679245061,detox
detox,8,tiktokbudolfinds,3,7194953838862798106|7216849996501536005|7216837695258086661,detox
detox,8,tiktokaffiliatemarketing,4,7205328571856915739|7216846309444128006|7227983902437084421|7250632672978930949,detox
detox,8,tiktokphilippines🇵🇭,4,7239475159747333382|7284672568919936262|7296163878969314561|7307398517272644870,detox
detox,9,healthyliving,10,7069753795353365786|7103887042001653019|7183251080489356570|7227985701252500741|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061,detox
detox,9,weightloss,13,7069744912631139610|7171828331623550213|7183466021074865434|7216849158941035781|7216846309444128006|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262118494043409670|7296231019361946886|7296175191577677061|7307328278535113990,detox
detox,9,healthydrinks,4,7081277828318186778|7092237341045132571|7115183549136801025|7284753836164517125,detox
detox,9,healthandwellness,5,7114996665609637147|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,9,fitness,9,7126327477714144539|7183466021074865434|7216864373548141830|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061,detox
detox,9,healthy,9,7138055653809032475|7183251080489356570|7216846309444128006|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061,detox
detox,9,diet,5,7171954130318069018|7171952804162981147|7183251080489356570|7183238540644437275|7296175191577677061,detox
detox,9,guthealth,3,7183304854721416475|7194961392888286491|7194916213892402458,detox
detox,9,healthyfood,6,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061,detox
detox,9,healthylife,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,9,weightlossjourney,5,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7307328278535113990,detox
detox,9,healthylifestyle,8,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7250631584385142022|7262110235572161797|7296175191577677061|7307328278535113990,detox
detox,9,healthyeating,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,9,healthiswealth,5,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7239494150167514374,detox
detox,9,fitnessmotivation,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,9,holistichealth,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,10,slimmingcoffee,6,7103923562108554523|7115016585990982939|7205278742787231002|7216857726352100634|7227995658563734790|7296264831999413510,detox
detox,10,coffee,15,7114911770971622682|7114878002139319578|7126327477714144539|7160752871523290394|7171780078114770203|7183287781135813915|7205288726463859994|7205274504229063963|7216862920120995078|7216858664953482501|7216839157467942170|7227986874898369798|7262118494043409670|7296188603636403462|7307398468543286534,detox
detox,10,ketobrew,5,7126618458942475546|7126602339607235867|7126545987002305818|7149091185066380570|7149051596528176411,detox
detox,10,ketobrewfitspiration,4,7126618458942475546|7126602339607235867|7126545987002305818|7149051596528176411,detox
detox,10,ketobrewdiet,4,7126618458942475546|7126602339607235867|7126545987002305818|7149051596528176411,detox
detox,10,collagendrink,3,7149048555603266843|7171907232232181018|7262117057909525765,detox
detox,10,coffeeshape,11,7183243305906359579|7194837310867819803|7205288726463859994|7216862920120995078|7216858664953482501|7227995521988775173|7227988086058274053|7250626098977885446|7262135518828317957|7296269549425495301|7318749480654785798,detox
detox,10,coffeeshapebycriscosmeticph,3,7194837310867819803|7296269549425495301|7318749480654785798,detox
detox,10,coffeeshapebycriscosmetics,3,7216846309444128006|7296269549425495301|7318749480654785798,detox
detox,10,sexydetoxcoffee,5,7239419707000950021|7250629057279167749|7250625243579075845|7284721513134132485|7296264758595013893,detox
detox,10,glowmingshapedetoxcoffeebycc,3,7250627029589069061|7284697809771646213|7318749480654785798,detox
detox,11,hanayaka,3,7092085309457861915|7160660848124497178|7171795940758670618,detox
detox,11,hanayakamain,3,7092085309457861915|7160660848124497178|7171795940758670618,detox
detox,11,sehandles,3,7160822478397394203|7171954130318069018|7171952804162981147,detox
detox,12,slimming,21,7081276056082205979|7092161800610811162|7103667669039140122|7115113520944909594|7114878002139319578|7126559797712784666|7160822478397394203|7160784013915983131|7160685994503572763|7171856782279724314|7183466021074865434|7183453954221673754|7183287553787710746|7205313230187679003|7205278742787231002|7205274504229063963|7216845120962923782|7216842390878080262|7216838737752345861|7227986824289930501|7284753836164517125,detox
detox,12,selflove,6,7126502513200729371|7171828331623550213|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,12,rebond,3,7149275886158662939|7307384530623597830|7307384420858629381,detox
detox,12,slim,4,7183453954221673754|7262118494043409670|7296231019361946886|7307398468543286534,detox
detox,12,legit,5,7205321936820243738|7227993232184003845|7239425342497115398|7262080703658003717|7296188603636403462,detox
detox,13,whitening,15,7069733558226554139|7092393908629425434|7115113520944909594|7114878002139319578|7126559797712784666|7149067787980377370|7149048555603266843|7160784013915983131|7160685994503572763|7183287553787710746|7194954140802354459|7194953236015566106|7216857726352100634|7239473312923929861|7318903557690887430,detox
detox,13,skincare,6,7081255407565425947|7115021918650076442|7149067787980377370|7160675842375388443|7262110235572161797|7296175191577677061,detox
detox,13,beauty,7,7126559797712784666|7205317693765864730|7216849158941035781|7216848270956530970|7262110235572161797|7273601279849483525|7296175191577677061,detox
detox,13,haircolor,3,7149275886158662939|7307384530623597830|7307384420858629381,detox
detox,13,selfcare,5,7171828331623550213|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,13,cleanse,3,7183429417866120474|7183238540644437275|7284753836164517125,detox
detox,13,hairtransformation,3,7205317693765864730|7307384530623597830|7307384420858629381,detox
detox,13,aibeauty,6,7239495994348555526|7250625243579075845|7284748922621398277|7284721513134132485|7296264758595013893|7296152949036715269,detox
detox,14,collagen,8,7126559797712784666|7171954130318069018|7171952804162981147|7171907232232181018|7183287781135813915|7216848270956530970|7227986824289930501|7250625243579075845,detox
detox,14,dgadmirals,3,7126499260752842011|7138097699240316186|7138066995571985690,detox
detox,14,alkaline,5,7183429417866120474|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,14,plantbased,5,7183429417866120474|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,14,organic,6,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7296194608093089029|7296175191577677061,detox
detox,15,criscosmetics,12,7171856782279724314|7183243305906359579|7194837310867819803|7205328571856915739|7205288726463859994|7205274504229063963|7216862920120995078|7216858664953482501|7216846309444128006|7216839157467942170|7250627029589069061|7250626098977885446,detox
detox,15,crisclerigo,5,7171856782279724314|7171809558099234054|7216839157467942170|7250627029589069061|7262135518828317957,detox
detox,15,criscosmetics👄,3,7194837310867819803|7227986824289930501|7250627029589069061,detox
detox,16,fyp,97,7059514102145649946|7059335738122407194|7059312376847338778|7059273292598758682|7059175358221815066|7069769109252132122|7069761746352737562|7069678024102333723|7081274723820129562|7081176367861107995|7081174134163623195|7081164591060765978|7092516260860185883|7092362592491949339|7092362565644307738|7092239140925869339|7092237222593744155|7092195998360997146|7092161800610811162|7103850972274838810|7103754531342765338|7103564146662247707|7115031884861672730|7115016585990982939|7114914000697134363|7114878002139319578|7126502513200729371|7126418992650095899|7126399212798905626|7126391877749820699|7126376143069990171|7126335376976792858|7138106862074907930|7138066995571985690|7138065174740634907|7149172628555648283|7149109764226600219|7149067787980377370|7149048555603266843|7160822478397394203|7160786232782490906|7160682180467789083|7160651667850136858|7171907232232181018|7171856782279724314|7171828331623550213|7171810035159387397|7171809558099234054|7171807079416565018|7183453954221673754|7183311033094704410|7183279789300616475|7183238540644437275|7194954140802354459|7194953236015566106|7194861868173790490|7194856747050274075|7205321936820243738|7205317693765864730|7216849158941035781|7216848270956530970|7227996900778183942|7227995521988775173|7227988086058274053|7227986874898369798|7227986824289930501|7227983902437084421|7239425342497115398|7250630041791450373|7250618109038513413|7262118494043409670|7262117057909525765|7262115601319988485|7262115421707439366|7262113401554472197|7262080703658003717|7262076452965731589|7273631053422660869|7273626313502543110|7273622331384171781|7273607696505392389|7284772821367049477|7284772241760570629|7284771636845251846|7284748922621398277|7284725246567992582|7284697809771646213|7284672568919936262|7284666181590600966|7296268877233655046|7296163878969314561|7296147280577481989|7307402482777394437|7318903557690887430|7318769340457782534|7318766142917594374|7318749480654785798,detox
detox,16,fypシ,39,7059311315965234458|7059273292598758682|7069753795353365786|7092362565644307738|7092237222593744155|7103887042001653019|7103850972274838810|7103667669039140122|7103564146662247707|7115031884861672730|7115001651072666907|7149048555603266843|7171961920084380955|7171954130318069018|7171952804162981147|7171907232232181018|7183453954221673754|7183287781135813915|7183279789300616475|7194959172948020507|7194856747050274075|7205321936820243738|7205317693765864730|7227988086058274053|7227986824289930501|7239473312923929861|7239454285711379718|7262133636986572038|7262118494043409670|7262115421707439366|7273634868804848901|7273633737043184901|7284669336088841478|7296269549425495301|7296264831999413510|7296163878969314561|7307404945970482438|7307368280606395653|7318766142917594374,detox
detox,16,foryoupage,25,7059273292598758682|7092362565644307738|7103850972274838810|7126376143069990171|7138106862074907930|7149067787980377370|7171954130318069018|7171952804162981147|7171856782279724314|7171809558099234054|7171807079416565018|7183311033094704410|7194953838862798106|7205321936820243738|7205317693765864730|7216849158941035781|7227986824289930501|7227983902437084421|7239475159747333382|7239454285711379718|7284725246567992582|7284666181590600966|7296194608093089029|7296163878969314561|7318766142917594374,detox
detox,16,foryou,22,7069769109252132122|7081276056082205979|7092393908629425434|7103667669039140122|7115016585990982939|7126419323500907802|7138106862074907930|7149067787980377370|7171907232232181018|7171828331623550213|7194959172948020507|7194953838862798106|7194861868173790490|7205352726602042651|7205317693765864730|7205288726463859994|7216862920120995078|7227986874898369798|7227986824289930501|7273601279849483525|7284666181590600966|7318766142917594374,detox
detox,16,fypage,15,7069753795353365786|7092362565644307738|7103667669039140122|7171954130318069018|7171952804162981147|7171856782279724314|7183279789300616475|7194856747050274075|7205317693765864730|7250631584385142022|7273633737043184901|7284725246567992582|7296163878969314561|7307398468543286534|7307368280606395653,detox
detox,16,foryourpage,5,7092362565644307738|7183238540644437275|7205321936820243738|7239425342497115398|7318749480654785798,detox
detox,16,fiberjelly,3,7092161800610811162|7171828331623550213|7183304854721416475,detox
detox,16,affiliatemarketing,13,7149067787980377370|7171961920084380955|7183279789300616475|7194837310867819803|7205288726463859994|7216862920120995078|7216858664953482501|7239499712339004678|7239425342497115398|7250618109038513413|7307398517272644870|7307386044679245061|7318766142917594374,detox
detox,16,fypspotted,8,7171961920084380955|7171828331623550213|7183304854721416475|7205288726463859994|7216862920120995078|7216848270956530970|7227986824289930501|7227983902437084421,detox
detox,16,fypシ゚viral,17,7171807079416565018|7183453954221673754|7183311033094704410|7194856747050274075|7205360340102548763|7205317693765864730|7227986874898369798|7262120872897465606|7262118494043409670|7273633737043184901|7284725246567992582|7284672568919936262|7284669336088841478|7296269549425495301|7296163878969314561|7307398468543286534|7307368280606395653,detox
detox,16,flushouttoxins,4,7171807079416565018|7171781851026066715|7183311033094704410|7284696925214051590,detox
detox,16,fyppppppppppppppppppppppp,5,7183453954221673754|7284753836164517125|7296269549425495301|7296264831999413510|7296163878969314561,detox
detox,16,affiliatemarketingforbeginners,5,7194953838862798106|7216849996501536005|7227983902437084421|7284672568919936262|7307386044679245061,detox
detox,16,fypdongggggggg,5,7205321936820243738|7205274504229063963|7262118494043409670|7296163878969314561|7307398468543286534,detox
detox,16,foryoupageofficiall,3,7205317693765864730|7227986824289930501|7296163878969314561,detox
detox,16,fy,4,7216845120962923782|7262115421707439366|7284666181590600966|7307404945970482438,detox
detox,17,berryglow,7,7183279789300616475|7205274504229063963|7216846309444128006|7216837695258086661|7284669336088841478|7296147280577481989|7318749480654785798,detox
detox,17,acaiberry,4,7205328571856915739|7250626098977885446|7296147280577481989|7307398468543286534,detox
detox,17,barley,3,7296238621961604358|7318884535368781062|7318762682532875525,detox
detox,18,glutadrip,3,7081174134163623195|7126559797712784666|7183287553787710746,detox
detox,18,glutathione,11,7149012958654287130|7160682180467789083|7171954130318069018|7171952804162981147|7183287553787710746|7194954140802354459|7194953236015566106|7216848270956530970|7250625243579075845|7262110235572161797|7296231019361946886,detox
detox,18,glowmingshapedetox,12,7171856782279724314|7183289499420560666|7183279789300616475|7194953838862798106|7227995521988775173|7227988086058274053|7227986824289930501|7250627029589069061|7262135518828317957|7273626313502543110|7307404945970482438|7318749480654785798,detox
detox,18,glowmingcoffeedetox,3,7183289499420560666|7194953838862798106|7318749480654785798,detox
detox,18,glowmingdetoxbycrisclerigo,5,7183289499420560666|7216848270956530970|7250627029589069061|7262135518828317957|7318749480654785798,detox
detox,18,glowmingdetox,4,7194953838862798106|7216849158941035781|7250627029589069061|7318749480654785798,detox
detox,18,glowmingshapedetoxberryjuicebycc,4,7227995658563734790|7250627029589069061|7284697809771646213|7318749480654785798,detox
detox,18,goviral,4,7262115601319988485|7262113401554472197|7262080703658003717|7273607696505392389,detox
detox,18,grabyoursnow🛒,3,7284772821367049477|7284772241760570629|7284771636845251846,detox
