username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
blancheflor01,Pour booster l'efficacité du purificateur d'air !#airpurifier #bunny #bunnies,"bunny,bunnies,airpurifier",7135801232949513478,54,6552302547447581442,FR,1,1661433200,0,1372
talas.fr,"Ce produit est fait pour toi !                              Le lien est dans la bio, alors n’hésite pas !       #secret #airpur #diffuseur #diffuseurhuilesessentielles #purificateurdair #tiktok","secret,tiktok,diffuseur,airpur,diffuseurhuilesessentielles,purificateurdair",7134673319332236550,2,6681198633301314311,FR,0,1661170589,0,152
edwigebenchikh,#purificateur #air #santé #priorité #respirer #sainement,"air,respirer,sainement,santé,priorité,purificateur",7147034669719080197,0,7104678535696075526,FR,0,1664048688,0,261
yaznomadeurbain,Le collier purificateur d’air #respiray,respiray,7141842527316921605,17,6746993352891189249,FR,1,1662839800,0,364
cynthia_ka,"Avec 85% de notre temps passé dans des endroits clos (bureau, maison, écoles...) il est essentiel de contrôler l'air qu'on respire a la maison surtout quand on ne contrôle pas celui exterieur.SIGNES + CONSEQUENCES⚫ maux de tête - fatigue - congestion des sinus- étourdissements - Irritation des yeux, asthme, AVC, cancer, bronchite💀 LES COUPABLES:Des pratiques de cuisson mal adaptées et chauffage mal entretenus Le tabagisme, bricolage, produits ménagers, parfums d'intérieur et bougies, encens, spray...Les matériaux de construction, de décoration ou d'ameublement L'humidité qui favorise le développement des acariens, des moisissures et des dégagements de COV (composés organiques volatiles formaldehyde, benzene et solvants organiques qui peuvent être cancérigènes) par dégradation des colles sur les meubles.Les spores de moisissures et les allergènes émis par les plantes, les insectes, les acariens ou les animaux domestiques.Le radon, un gaz radioactif naturel, incolore et inodore. Il s'accumule dans les maisons et plus encore dans les caves mal ventilées. Attention donc dans les régions au sous-sol granitique comme la Bretagne ou le Massif central.✨ COMMENT ASSAINIR:Aérer tous les jours 10 à 15 min matin et soir entretien régulier des appareils de combustion, regarder les etiquette COV (A+ = faible émission et C= forte émission) à l'achat des peintures, meubles, revêtements de sol et idéalement acheter les matériaux naturels, nettoyer avec des produits écologiques et naturels qui peuvent être fait maison, préférez un nettoyage léger mais fréquent qu'un nettoyage de fond, acheter des plantes purificatrice d'air (aloe vera, ficus, calathea, fougère), investissez dans un purificateur d'airVérifiez le niveau d'humidité (entre 30et 60% étant l'idéal), vérifiez la date de péremption des produits chimiques et ménagé. #sante #aerer #pollutiondomestique #produitchimiques #bienetre #bougies#airpollue #ecologie #produitsmenager#cleanbeauty #diy #cancer #prevention #perturbateursendocriniens#purificateur #humidificateur #assainir #aeration","diy,cancer,aeration,prevention,bougies,cleanbeauty,sante,bienetre,ecologie,humidificateur,purificateur,produitsmenager,produitchimiques,aerer,assainir,perturbateursendocriniens,airpollue,pollutiondomestique",7139079930314296581,194,7088685099188882181,FR,6,1662196581,5,3590
talas.fr,Tu peux retrouver ce diffuseur sur talas.fr       #air #tiktok #tendance #diffuseur #diffuseurhuilesessentielles #design #product #led #purificateurdair #incroyable #jadore #achat #achatscompulsifs,"air,led,tiktok,design,product,jadore,tendance,incroyable,achat,diffuseur,achatscompulsifs,diffuseurhuilesessentielles,purificateurdair",7159607704523246854,4,6618871733141113604,FR,1,1666976076,1,344
talas.fr,"Voici notre produit en vedette ce mois ci, n’hésitez pas à aller voir sur notre site !             #air #tiktok #tendance #purificateurdair #design #product #led #achat                              ","air,led,tiktok,design,product,tendance,achat,purificateurdair",7159555631224081670,3,7098939394085702406,FR,7,1666963951,0,408
talas.fr,Ce purificateur d’air est fait pour toi !                                                         Talas.fr                                                                -#tiktok #tendance #purificateurdair #air #design #product #led,"air,led,tiktok,design,product,tendance,purificateurdair",7159543618993245445,1,7133198691796305921,FR,1,1666961153,0,432
marine_hc,Hyla purificateur d’air🐸 avant d’avoir un Hyla même en fessant ton ménage tout les jour tu ne fait rien là solution c’est Hyla🐸 #maisonpropre #hyla #viendecouvrir #27fonction,"hyla,maisonpropre,viendecouvrir,27fonction",7156496516503358725,32,6939580518874843909,FR,2,1666251708,11,1777
z4lman91,Purificateur d'air #modelisation3d #ender5plus #imprimante3d #impression3d #print #printer #maker #creality #noctua,"print,maker,printer,imprimante3d,creality,noctua,impression3d,ender5plus,modelisation3d",7155858727038487814,10,6817428587415603201,FR,0,1666103198,0,114
