name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
y8ojlJoM0FE,other,,When Chinese Industrial Espionage Goes Wrong,no,,no,1683849632,2023-05-12 00:05:32,Bloomberg Originals,UCUMZ7gohGI9HcU9VNsr2FJQ,News & Politics,en,en,915016,18320,,,0,2341,https://i.ytimg.com/vi/y8ojlJoM0FE/mqdefault.jpg,EN,Other
rr-ALEvkKzk,other,,Apple s ‘Political Censorship’ 🍎,no,,yes,1689948070,2023-07-21 14:07:10,Facts Matter with Roman Balmakov,UCXuwhn5_41m4VxZJ3wcDyxA,Entertainment,,en-US,58863,8573,,,0,264,https://i.ytimg.com/vi/rr-ALEvkKzk/mqdefault.jpg,EN,Other
XSLYOr3YQwI,other,,Is Apple Scanning Your iPhone? 📱,no,,yes,1689887174,2023-07-20 21:07:14,Facts Matter with Roman Balmakov,UCXuwhn5_41m4VxZJ3wcDyxA,Entertainment,,en-US,47897,4781,,,0,187,https://i.ytimg.com/vi/XSLYOr3YQwI/mqdefault.jpg,EN,Other
WwGRM4QWFlQ,other,,How US corporations poisoned this Indigenous community,no,,no,1660662532,2022-08-16 15:08:52,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,,en,403555,12018,,,0,580,https://i.ytimg.com/vi/WwGRM4QWFlQ/mqdefault.jpg,EN,Other
fsjvwQclGLo,other,,Why 99% of ocean plastic pollution is  missing,no,,no,1619524815,2021-04-27 12:04:15,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,en-US,en,5207880,99754,,,0,7230,https://i.ytimg.com/vi/fsjvwQclGLo/mqdefault.jpg,EN,Other
_DMhb1FWHso,other,,Why is the Guantánamo Bay prison still open?,no,,no,1643806824,2022-02-02 13:02:24,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,,en,2679835,65363,,,0,3620,https://i.ytimg.com/vi/_DMhb1FWHso/mqdefault.jpg,EN,Other
3_hCLjUrK1E,other,,How 4 companies control the beef industry,no,,no,1632916802,2021-09-29 12:09:02,Vox,UCLXo7UDZvByw2ixzpQCufnA,Education,,en,3484089,70690,,,0,3738,https://i.ytimg.com/vi/3_hCLjUrK1E/mqdefault.jpg,EN,Other
ZdFFL9wNsaY,other,,How cruise ships got so big,no,,no,1690891234,2023-08-01 12:08:34,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,,en,106855,5346,,,0,248,https://i.ytimg.com/vi/ZdFFL9wNsaY/mqdefault.jpg,EN,Other
wID6G0cq5W4,other,,Fanum Goes Sneaker Shopping With Complex,no,,no,1690812041,2023-07-31 14:07:41,Complex,UCE_--R1P5-kfBzHTca0dsnw,Entertainment,,en,545209,35354,,,0,1881,https://i.ytimg.com/vi/wID6G0cq5W4/mqdefault.jpg,EN,Other
GDzBE6vz5r0,other,,The Mind-Blowing Machines that Stamp Millions of Metal Parts - Smarter Every Day 288,no,,no,1690815684,2023-07-31 15:07:24,SmarterEveryDay,UC6107grRI4m0o2-emgoDnAA,Science & Technology,en,en,672659,34321,,,0,3111,https://i.ytimg.com/vi/GDzBE6vz5r0/mqdefault.jpg,EN,Other
edqeL19L3ok,other,,Satellites found to have the capability of tracking harmful ocean microplastics daily,no,,yes,1675881303,2023-02-08 18:02:03,Michigan Engineering,UCSvOdBJgMnTYsK-cZIGZSYQ,Science & Technology,,en-US,2321,25,,,0,2,https://i.ytimg.com/vi/edqeL19L3ok/mqdefault.jpg,EN,Other
T58O4eFwXh4,other,,Cheap and efficient way to weld metal and plastic,no,,yes,1669745499,2022-11-29 18:11:39,Michigan Engineering,UCSvOdBJgMnTYsK-cZIGZSYQ,Science & Technology,,en-US,7520,59,,,0,9,https://i.ytimg.com/vi/T58O4eFwXh4/mqdefault.jpg,EN,Other
G17o4O2gxOs,other,,Environment friendly practices taken by government,no,,no,1690189638,2023-07-24 09:07:18,pu ki duniya,UC-gqlDbTgP2mnqQ_oEi_tsw,Travel & Events,,,4,3,,,0,0,https://i.ytimg.com/vi/G17o4O2gxOs/mqdefault.jpg,EN,Other
QCFIDoJ7F-M,other,,They don t make Pyrex like they used to,no,,no,1686684254,2023-06-13 19:06:14,Reactions,UCdJ9oJ2GUF8Vmb-G63ldGWg,Science & Technology,en,en,9525,541,,,0,27,https://i.ytimg.com/vi/QCFIDoJ7F-M/mqdefault.jpg,EN,Other
igOiTG3oZMo,other,,The future of denim,no,,no,1684674034,2023-05-21 13:05:34,DW Planet A,UCb72Gn5LXaLEcsOuPKGfQOg,Education,,en,8495,418,,,0,13,https://i.ytimg.com/vi/igOiTG3oZMo/mqdefault.jpg,EN,Other
HxMfXoNTQLg,other,,The environmental impact of fast fashion | Sea Strong Bahamas,no,,no,1690393527,2023-07-26 17:07:27,Sea Strong Bahamas,UCvqSnJ3gCFlwd3nEZH9-Hag,Education,,en-US,183,12,,,0,0,https://i.ytimg.com/vi/HxMfXoNTQLg/mqdefault.jpg,EN,Other
2v9JHdUn7PM,other,,Landfill Glossary - Gas Collection System,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,53,1,,,0,1,https://i.ytimg.com/vi/2v9JHdUn7PM/mqdefault.jpg,EN,Other
HCocAtyNL5E,other,,Landfill Glossary - Groundwater Monitoring System,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,42,0,,,0,0,https://i.ytimg.com/vi/HCocAtyNL5E/mqdefault.jpg,EN,Other
09rmep351m0,other,,Landfill Glossary - Working Face  Cell and Lift,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,68,2,,,0,0,https://i.ytimg.com/vi/09rmep351m0/mqdefault.jpg,EN,Other
rX4k2PCSW3c,other,,Landfill Glossary - Stormwater Drainage System,no,,no,1687898528,2023-06-27 20:06:08,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,103,2,,,0,0,https://i.ytimg.com/vi/rX4k2PCSW3c/mqdefault.jpg,EN,Other
JRCVSBRcJSQ,other,,Landfill Glossary - Leachate Collection System,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,68,0,,,0,0,https://i.ytimg.com/vi/JRCVSBRcJSQ/mqdefault.jpg,EN,Other
Rl1CA30CueY,other,,Landfill Glossary - Composite Liner System,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,,56,0,,,0,0,https://i.ytimg.com/vi/Rl1CA30CueY/mqdefault.jpg,EN,Other
Ckr1WS81GFM,other,,Landfill Glossary - Landfill Cover,no,,no,1687898527,2023-06-27 20:06:07,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,en,46,0,,,0,0,https://i.ytimg.com/vi/Ckr1WS81GFM/mqdefault.jpg,EN,Other
