query,querySlug,cluster,clusterLabel,text,videosNumber,ids
detox,detox,detox,Detox,ontgifter,4,7190071420444101893|7120521680111324422|7190071420444101893|7281172170963815713
detox,detox,detox,Detox,vegandetox,4,7210090669803588869|7209635358244343046|7210090669803588869|7209635358244343046
detox,detox,detox,Detox,ontgifting,3,7259016582989466907|7259016582989466907|7271183040674565409
detox,detox,detox,Detox,detoxsmoothie,9,7059382040302488838|7058591732228721925|7092316016784510214|7091003445418708229|7138027940834512133|7137672062042115334|7137346650728631558|7160777955755560198|7160425500320566533
detox,detox,detox,Detox,detoxjuice,6,7080903447230336262|7124598980750691590|7137346650728631558|7194396652529044741|7216798387402722566|7250074471153847578
detox,detox,detox,Detox,juicedetox,6,7101760759683632390|7171045912633003270|7183325727763385605|7194396652529044741|7204890443107110149|7216417638212209925
detox,detox,detox,Detox,haardetox,3,7113021406035594502|7227824535544909082|7307280828298562849
detox,detox,detox,Detox,detoxtea,3,7125051448152444165|7135873715719392518|7318877284201499936
detox,detox,detox,Detox,detoxscalp,3,7136202763997859077|7238958025342487834|7238569998531218714
detox,detox,detox,Detox,detoxyourbody,6,7160777955755560198|7160425500320566533|7216777377123241221|7216677094103829766|7216590355918114053|7250189731189902618
detox,detox,detox,Detox,detoxdriporiginal,4,7160112988194688262|7160045635696135429|7171586197565787398|7171025907346361606
detox,detox,skin-care-and-hair-care,Skin care and hair care,sap,6,7054537702909267205|7258939731495505179|7081180565369605381|7159889042803363077|7159872999296863494|7258939731495505179
detox,detox,skin-care-and-hair-care,Skin care and hair care,sapkuur,14,7054537702909267205|7066863499099573510|7199717633799818502|7066863499099573510|7115053088431459589|7114976189005024518|7182310243253161222|7182185858848558341|7194396652529044741|7204890443107110149|7239014506427419931|7283951359613832480|7066863499099573510|7199717633799818502
detox,detox,skin-care-and-hair-care,Skin care and hair care,sauna,4,7050816856688495878|7186622171337231622|7214913724371537158|7214910565351738629
detox,detox,skin-care-and-hair-care,Skin care and hair care,sapje,3,7066863499099573510|7066863499099573510|7066863499099573510
detox,detox,skin-care-and-hair-care,Skin care and hair care,sapvasten,6,7066863499099573510|7127993533532851462|7066863499099573510|7081250441635613958|7066863499099573510|7127993533532851462
detox,detox,skin-care-and-hair-care,Skin care and hair care,sapjeskuur,5,7065231532604116229|7177331270899338502|7182185858848558341|7065231532604116229|7177331270899338502
detox,detox,skin-care-and-hair-care,Skin care and hair care,spa,8,7141312742836817158|7186622171337231622|7279785064806829344|7273207305108213025|7295839116585864480|7295474896338046240|7141312742836817158|7279785064806829344
detox,detox,skin-care-and-hair-care,Skin care and hair care,samycreaties,4,7162183876058647814|7162148567577054469|7162183876058647814|7162148567577054469
detox,detox,skin-care-and-hair-care,Skin care and hair care,shampoo,3,7190071420444101893|7204804187010452742|7190071420444101893
detox,detox,skin-care-and-hair-care,Skin care and hair care,capcut,18,7226237217411239195|7257123013873732891|7159883419659308293|7171399530682928389|7183311523417197829|7182296640492031238|7205312404941671685|7204790083738750213|7204755374430375174|7216434053787045126|7227782712512367899|7227417446729239835|7273413951000497441|7318866316335615265|7318334079936613665|7226237217411239195|7257123013873732891|7304959659507551520
detox,detox,skin-care-and-hair-care,Skin care and hair care,scrub,8,7234500434574986523|7303914767113063712|7303494272316198177|7301354096525692193|7234500434574986523|7303914767113063712|7303494272316198177|7301354096525692193
detox,detox,skin-care-and-hair-care,Skin care and hair care,sardinevasten,7,7250446921175731483|7249071637813923099|7248630170792283418|7250446921175731483|7250446921175731483|7249071637813923099|7248630170792283418
detox,detox,skin-care-and-hair-care,Skin care and hair care,sardinia,3,7250231729523379483|7250231729523379483|7250231729523379483
detox,detox,skin-care-and-hair-care,Skin care and hair care,sardine,3,7250231729523379483|7250231729523379483|7250231729523379483
detox,detox,skin-care-and-hair-care,Skin care and hair care,salonnepro,4,7280027645662825760|7279785064806829344|7280027645662825760|7279785064806829344
detox,detox,skin-care-and-hair-care,Skin care and hair care,scalpcare,5,7301354096525692193|7182926448792046853|7273221945036950817|7306987117509479712|7301354096525692193
detox,detox,skin-care-and-hair-care,Skin care and hair care,headspa,10,7316456244343016736|7182926448792046853|7250121376118426907|7273221945036950817|7273207305108213025|7295839116585864480|7295474896338046240|7307342548152978720|7307280828298562849|7316456244343016736
detox,detox,skin-care-and-hair-care,Skin care and hair care,saunagaram,4,7160112988194688262|7159883419659308293|7171586197565787398|7171025907346361606
detox,detox,skin-care-and-hair-care,Skin care and hair care,zussensap,3,7183325727763385605|7194396652529044741|7204890443107110149
detox,detox,skin-care-and-hair-care,Skin care and hair care,japaneseheadspa,8,7182926448792046853|7250121376118426907|7273221945036950817|7273207305108213025|7295839116585864480|7295474896338046240|7307342548152978720|7307280828298562849
detox,detox,skin-care-and-hair-care,Skin care and hair care,scalp,4,7238569998531218714|7295839116585864480|7295474896338046240|7307280828298562849
detox,detox,beauty,Beauty,tiktok,13,7054537702909267205|7221472585975270661|7102319314677615878|7113231439889566981|7125051448152444165|7136097495637101830|7135873715719392518|7135474316325506309|7159980284795047173|7227930667600923931|7227171400048545050|7227042397803384090|7221472585975270661
detox,detox,beauty,Beauty,beautytok,10,7134754263963602181|7223332558463864091|7276465076297682208|7295821991146212640|7182296640492031238|7295821991146212640|7134754263963602181|7223332558463864091|7276465076297682208|7295821991146212640
detox,detox,beauty,Beauty,cleanbeautytok,3,7295821991146212640|7295821991146212640|7295821991146212640
