query,querySlug,cluster,clusterLabel,text,videosNumber,ids
glyphosate,glyphosate,healthy-living,Healthy living,healing,11,7080528135728581934|7115130721395608874|7126550781624438058|7148491275141057838|7159979439588199723|7193844602506497326|7216724287816863018|7216165305847123246|7250200692605111595|7284620014034963754|7307296856374119726
glyphosate,glyphosate,healthy-living,Healthy living,guthealth,28,7080528135728581934|7079238624629345578|7091061149143452974|7102591299475410222|7112986036594068782|7126550781624438058|7126221741793266950|7125809517954092331|7137474774124481838|7182938044755135790|7182724649850096938|7182641843547557166|7182412473851497774|7181913461780352302|7181913017855053102|7181498210043874606|7194516898241858858|7193686978058063109|7205346612502154542|7204670039906159915|7227204491525917998|7238675838244359470|7262074955968482606|7261337503402102058|7273189534387457323|7284490036060409118|7296122218210200878|7318517692032519470
glyphosate,glyphosate,healthy-living,Healthy living,healthcoach,6,7080267102107487534|7102591299475410222|7101499264932711726|7171661779569741098|7205262626190888234|7318393291081387295
glyphosate,glyphosate,healthy-living,Healthy living,healthandwellness,5,7102591299475410222|7126685464479829294|7171661779569741098|7204670039906159915|7296098911922457899
glyphosate,glyphosate,healthy-living,Healthy living,holistic,7,7115130721395608874|7181498210043874606|7193844602506497326|7205230685336980779|7216790916563045678|7227204491525917998|7238789803792174382
glyphosate,glyphosate,healthy-living,Healthy living,wellnesstips,4,7114326255675165995|7111456372780272942|7204898558040886571|7227244739249048874
glyphosate,glyphosate,healthy-living,Healthy living,healthiswealth,9,7126332538284477739|7125809517954092331|7159979439588199723|7171661779569741098|7171656071423986990|7182641843547557166|7181913461780352302|7216790916563045678|7273627845191142702
glyphosate,glyphosate,healthy-living,Healthy living,medicalmedium,4,7126332538284477739|7238789803792174382|7273627845191142702|7273252967153798442
glyphosate,glyphosate,healthy-living,Healthy living,cleansetoheal,3,7126332538284477739|7238789803792174382|7273252967153798442
glyphosate,glyphosate,healthy-living,Healthy living,healthybreakfast,3,7126221741793266950|7194951807750212906|7250310208885394731
glyphosate,glyphosate,healthy-living,Healthy living,wellness,7,7125809517954092331|7137474774124481838|7194951807750212906|7216790916563045678|7227113633182911790|7238815976576371969|7318393291081387295
glyphosate,glyphosate,healthy-living,Healthy living,healthylifestyle,9,7125809517954092331|7182938044755135790|7182641843547557166|7182412473851497774|7181913461780352302|7238675838244359470|7284490036060409118|7296098911922457899|7295857062095932714
glyphosate,glyphosate,healthy-living,Healthy living,healthy,9,7138147745398820138|7171661779569741098|7171610402516782382|7216724287816863018|7216316067843427630|7216193093496737066|7250535994733169962|7261513858194443562|7295857062095932714
glyphosate,glyphosate,healthy-living,Healthy living,healthfood,3,7138147745398820138|7183340848401337646|7227098069668711726
glyphosate,glyphosate,healthy-living,Healthy living,healthyrecipes,3,7137645870790593835|7194951807750212906|7238675838244359470
glyphosate,glyphosate,healthy-living,Healthy living,hormonebalance,3,7137645870790593835|7204220396982340906|7216790916563045678
glyphosate,glyphosate,healthy-living,Healthy living,healthyeating,4,7159617330991877419|7171661779569741098|7261617577229634858|7296098911922457899
glyphosate,glyphosate,healthy-living,Healthy living,naturopathicmedicine,3,7181498210043874606|7227204491525917998|7318393291081387295
glyphosate,glyphosate,healthy-living,Healthy living,eathealthy,3,7194951807750212906|7205262626190888234|7296122218210200878
glyphosate,glyphosate,environment,Environment,pollution,4,7049703338060827909|7317951179185605920|7049703338060827909|7317951179185605920
glyphosate,glyphosate,environment,Environment,climat,4,7049703338060827909|7063202963380096261|7049703338060827909|7063202963380096261
