query,cluster,text,videosNumber,ids
air purifier,16,musthaves,3,7079956544904891000|7093357361758277000|7259942991161331000
air purifier,16,smallbusiness,3,7166637803013443000|7172545266812243000|7200627163341639000
air purifier,17,santa,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,17,santaclaus,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,18,belgium,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,18,netherlands,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,18,bolfinds,5,7296129869476269000|7303465507280260000|7303465507280260000|7296129869476269000|7303465507280260000
air purifier,18,nederland,4,7233707382474427000|7300501306156912000|7233707382474427000|7300501306156912000
air purifier,19,cool,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,19,chill,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,2,pollen,5,7109468559910112000|7241840687229013000|7094301951470472000|7109468559910112000|7241840687229013000
air purifier,2,allergies,5,7299972785877585000|7201377688227974000|7305077031228755000|7301694960598846000|7299972785877585000
air purifier,2,allergie,4,7104185909016301000|7299972785877585000|7104185909016301000|7299972785877585000
air purifier,2,allergieën,3,7104185909016301000|7094301951470472000|7104185909016301000
air purifier,3,ashtray,22,7260083491562343000|7291630522260901000|7286090568705347000|7225766345772764000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7220365450130017000|7238942821871357000|7236677306872335000|7232254536369343000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,3,ashtrays,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,3,ashtraypov,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,3,ashtrayart,9,7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,3,asbakje,9,7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,3,astma,7,7104185909016301000|7241840687229013000|7260518174779510000|7094301951470472000|7104185909016301000|7241840687229013000|7260518174779510000
air purifier,3,airbowl,6,7158514711053471000|7241840687229013000|7260518174779510000|7158514711053471000|7241840687229013000|7260518174779510000
air purifier,3,ashtrayairpurifier,6,7291630522260901000|7286090568705347000|7291630522260901000|7286090568705347000|7291630522260901000|7286090568705347000
air purifier,3,ashtrayedit,3,7260083491562343000|7260083491562343000|7260083491562343000
air purifier,4,viral,15,7217191929300176000|7204522629762469000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7220443855835942000|7232254536369343000|7271913801769881000|7271629302037368000|7267957247882317000|7299109827920285000|7131098968758537000|7217191929300176000
air purifier,4,vjp,10,7103875966858055000|7098978897898900000|7109468559910112000|7108744815336099000|7230760569618386000|7103875966858055000|7098978897898900000|7109468559910112000|7108744815336099000|7230760569618386000
air purifier,4,viralproduct,8,7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,4,winix,3,7218326856733396000|7218326856733396000|7218326856733396000
air purifier,4,winixzero,3,7218326856733396000|7218326856733396000|7218326856733396000
air purifier,4,winixprotects,3,7218326856733396000|7218326856733396000|7218326856733396000
air purifier,4,fypシ゚viral,3,7220677952642600000|7271913801769881000|7271629302037368000
air purifier,4,volcano,3,7259942991161331000|7259576428822269000|7259573709210455000
air purifier,4,volcanovibes,3,7259942991161331000|7259576428822269000|7259573709210455000
air purifier,5,trending,12,7220713741858573000|7220677952642600000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7232254536369343000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7299109827920285000
air purifier,5,tech,10,7202674137012194000|7202673874075454000|7202673850876792000|7200460010390851000|7200459176869613000|7200457718275050000|7199710248297352000|7195956715265789000|7195866359291481000|7208605012560236000
air purifier,5,fy,7,7117620935255002000|7225766345772764000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000
air purifier,5,studio,6,7188139726304595000|7299972785877585000|7308455815042567000|7188139726304595000|7299972785877585000|7308455815042567000
air purifier,5,love,5,7068193450339945000|7169248153902812000|7166637803013443000|7172545266812243000|7318143742056156000
air purifier,5,home,5,7068193450339945000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,5,hyla,5,7094301951470472000|7171427638903344000|7176327359514136000|7196676928420498000|7196228434794761000
air purifier,5,dog,4,7104185909016301000|7301685197114822000|7104185909016301000|7301685197114822000
air purifier,5,pet,4,7104185909016301000|7301685197114822000|7104185909016301000|7301685197114822000
air purifier,5,mama,4,7158514711053471000|7313926716815101000|7158514711053471000|7313926716815101000
