id,title,rank,keyword_Location,cluster,clusterLabel
504184750,aerial view of sewage treatment plant,932,Europe|Wroclaw|Poland,water_clarifiers,Water clarifiers
1047791364,Pouring Cleaning Fluid on Cleaning Sponge in Kitchen,933,Slovenia,other,Other
936374808,Collapsing building over a river,934,UK,villages_river,Villages river
1177402953,"Young woman cleaning microplastics from sand on the beach - Environmental problem, pollution and ecolosystem warning concept - Focus on hand",935,Australia|Spain|Africa|Asia,other,Other
1220304213,Children clean the sea of plastic waste.,936,Tynemouth,people_cleaning,People cleaning
950044270,Trash in the Sea,937,Southeastern Region|Brazil,waste_on_the_beach,Waste on the beach
943347286,Oil spill. Environmental disaster. A containment boom is a temporary floating barrier used to contain an oil spill.,938,Greece,other,Other
1053752092,Waste water dirty closeup Pollution of the environment.,939,Thailand,other,Other
469623402,Oil spill in Pearl Harbor,940,USA|Hawaii Islands|Pacific Islands,oil_in_water,Oil in water
1166330677,hand holds waffle cone with Earth model,941,Europe|Russia|Africa,other,Other
1276188980,Sea lion with medical mask in mouth due to COVID trash pollution,942,Canada,waste_underwater,Waste underwater
1311514975,Plastic waste in the sea face mask with gloves,943,Europe|France,waste_underwater,Waste underwater
1320345376,View of Mumbai skyline over slums in Bandra suburb,944,Maharashtra|Mumbai|India|Asia,villages_river,Villages river
636354674,Trash clogs a dirty river photo taken in Bogor Indonesia,945,Jakarta|Indonesia|Asia,other,Other
104696262,Plastic bag and Lionfish,946,,waste_underwater,Waste underwater
1143972488,Drone aerial image of a low-lying barrier island in Louisiana,947,Louisiana|USA|Gulf Coast States,other,Other
1152811671,Modern times symbol. Plastic bag on the coral reef,948,,waste_underwater,Waste underwater
1189706938,"plastic pollution, micro nurdles and plastic particle in ocean water",949,Germany,waste_underwater,Waste underwater
1470571303,Eco-activist mother and daughter cleaning urban trash by river,950,,people_cleaning,People cleaning
1324869815,Polluted Beach,951,South Africa,waste_on_the_beach,Waste on the beach
500056970,"offshore oil and gas fire case or emergency case,",952,Asia,oil_platforms,Oil platforms
1165552674,Asian Male engineering working with a tablet laptop at sewage treatment plant,953,Thailand|Asia,other,Other
1071582244,Natural Gas storage tanks,954,Thailand,other,Other
1061217146,"Sewer pipes at shore, stain of oil or fuel on water surface, nature pollution by toxic chemicals, dirty sea concept",955,Russia,pipes,Pipes
1334478170,"Died fish in polluted sea water, contamination",956,Spain,other,Other
672495516,Earth Day,957,Canada,other,Other
1148714120,Heap of used plastic straws on background of clean tropical beach and ocean waves,958,Indonesia,other,Other
994974566,Plastic bottle under the sea,959,Italy,waste_underwater,Waste underwater
1166594417,"Plastic bottle with fish, pollution that floats in the ocean",960,Netherlands,other,Other
1173097208,Biologist takes water from a forest river to study the composition in the laboratory,961,Slovenia,experts_analysing,Experts analysing
1206725912,cigarette butts polluting the environment and nature,962,Argentina,other,Other
1227069959,"Melbourne, Australia - May 17, 2020: Public rubbish bin overflowing near a walking track after some social reatrictions were relaxed during the coronavirus outbreak",963,Australia,other,Other
1388332136,Plastic background. Top view.,964,,other,Other
1153532427,Garbage in the water. Photograph of a polluted pond,965,Russia|Nepal,other,Other
1224883844,Fish in a plastic bag,966,Slovenia,waste_underwater,Waste underwater
530762832,Water pollution,967,Gulf Coast States|Tampa,other,Other
169960453,Pollution inspector,968,,other,Other
1137382675,Environmental pollution,969,,people_cleaning,People cleaning
1224128385,Hands cupping crude oil spills in water,970,Slovenia,other,Other
1198906219,Toxic plastic waste floating underwater in the ocean,971,Russia,waste_underwater,Waste underwater
1061227064,Beach with plastic waste,972,Germany,waste_on_the_beach,Waste on the beach
1291804874,"Microplastic pellets, environmental problem, pollution and ecologic system warning concept",973,Italy,other,Other
620379862,Plastic Ocean Pollution Floating Global Environmental Issue,974,,waste_underwater,Waste underwater
1215545252,Hands Of Father Giving Earth With Leaves To Child,975,,other,Other
516116657,Pollution,976,Romania,oil_in_water,Oil in water
1133794050,Swan swims in contaminated water with plastic bottles,977,Serbia,other,Other
607252538,Algae floating on the surface of river.,978,,other,Other
840448972,Wrecked ship along the rocky coast (Black and white),979,Hong Kong,other,Other
1173929641,Concept on the pollution of beaches with dangerous objects,980,Germany,other,Other
1324708658,Asian young happy family activists collecting plastic waste and walking on beach.,981,Thailand|Asia,other,Other
1283390877,"Marine crab on discarded Waste pollution,COVID-19 disease.contaminated sea habitat,coronavirus tools",982,Italy,animals_plastic,Animals plastic
1089305720,Water pollution,983,Germany,waste_underwater,Waste underwater
1201343223,"Drone view of City scape, Kwun Tong",984,Kwun Tong|Kowloon|Kowloon Bay|Hong Kong|Asia,other,Other
534609074,Flooded agricultural fields.,985,,other,Other
186025989,Oil refinery,986,Argentina|Mendoza Province,other,Other
519561393,Landfill,987,Gulf Coast States|Southern USA|Florida - US State,other,Other
943417892,oil slick on the sea crash on the oil platform 3d,988,Ukraine,oil_platforms,Oil platforms
1301208188,plastic pollution waste recycling crushed bottles,989,,other,Other
1054882092,Oil Spill,990,North America|Maritime Provinces|Nova Scotia|Canada,oil_in_water,Oil in water
1098264318,Volunteer woman collecting trash on the beach. Trash-free seas concept. Single-use plastic is a human addiction that is destroying our planet,991,,people_cleaning,People cleaning
1331030736,.Man handpicking gathering up garbage plastic bottle garbage from the river at the park. World environment day.Environment concept.,992,Thailand,people_cleaning,People cleaning
969091000,Woman picking up trash in the sea,993,USA,people_cleaning,People cleaning
1160230313,Underwater global problem with plastic rubbish,994,Czech Republic,waste_underwater,Waste underwater
1180510750,"Industrial Waste Area, Aerial View",995,Germany,other,Other
921577232,Green algae pollution on a water surface,996,Ukraine,other,Other
1203040122,"Disposable single-use plastic objects such as bottles, cups, forks, spoons and drinking straws that cause pollution of the environment",997,Poland,other,Other
1444265531,Environmental Inequality,998,Canada,other,Other
1219995732,View of Mumbai skyline over slums in Bandra suburb,999,Maharashtra|Mumbai|India|Asia,villages_river,Villages river
1194677167,close up view of a sidewalk drainage gate,1000,Singapore,other,Other
