name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
csO8A1Jx0T0,other,,Activists Scuffle With Police Over Coal Mine Expansion in Turkey,no,,no,1690840831,2023-07-31 22:07:31,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,2615,139,,,0,47,https://i.ytimg.com/vi/csO8A1Jx0T0/mqdefault.jpg,FR,Other
3cCyUJab5jQ,other,,Neue Anklagepunkte: Hat Donald Trump Kameraaufzeichnungen löschen lassen? #Shorts,no,,no,1690546101,2023-07-28 12:07:21,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,4429,97,,,0,13,https://i.ytimg.com/vi/3cCyUJab5jQ/mqdefault.jpg,FR,Other
2m-tn8UZ1Hk,other,,Großbritannien: Russische Schwarzmeerflotte bereitet sich auf Blockade vor #shorts,no,,no,1690374080,2023-07-26 12:07:20,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,44312,427,,,0,29,https://i.ytimg.com/vi/2m-tn8UZ1Hk/mqdefault.jpg,FR,Other
eqW5kBPaiI4,other,,Habeck will Energiepreisbremsen bis Ostern verlängern #short,no,,no,1690457478,2023-07-27 11:07:18,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,5266,52,,,0,8,https://i.ytimg.com/vi/eqW5kBPaiI4/mqdefault.jpg,FR,Other
pkfpMrvMphw,other,,Polen verlegt wegen Wagner-Söldnern in Belarus Truppen nach Osten #shorts,no,,no,1689940583,2023-07-21 11:07:23,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,30932,396,,,0,34,https://i.ytimg.com/vi/pkfpMrvMphw/mqdefault.jpg,FR,Other
9t4WRt3yq7w,other,,IAEA entdeckt Minen an ukrainischem AKW Saporischschja #shorts,no,,no,1690275998,2023-07-25 09:07:38,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,5974,47,,,0,15,https://i.ytimg.com/vi/9t4WRt3yq7w/mqdefault.jpg,FR,Other
uR_SmNEYU-c,other,,IAEA entdeckt Minen an ukrainischem AKW Saporischschja,no,,no,1690274894,2023-07-25 08:07:14,Stuttgarter Zeitung & Stuttgarter Nachrichten,UCxU1a-2vec6ljU43I0F2Jwg,News & Politics,de,de,4164,49,,,0,15,https://i.ytimg.com/vi/uR_SmNEYU-c/mqdefault.jpg,FR,Other
H5BNff9VR4Y,other,,Governor Jay Insley visits SHARC Energy,no,,no,1690173885,2023-07-24 04:07:45,SHARC Energy,UCyDZ8Sz5h_s6Y4-tiiJJLlg,Science & Technology,en-CA,en-CA,73,3,,,0,0,https://i.ytimg.com/vi/H5BNff9VR4Y/mqdefault.jpg,FR,Other
olY6kQr4Vyw,other,,Synesthésie  quand les sens s‘emmêlent Arte 2023 05 20,no,,no,1684658603,2023-05-21 08:05:23,Psycho,UC4ZNlKkloaQNpcCAGm1iH1g,People & Blogs,,,381,5,,,0,0,https://i.ytimg.com/vi/olY6kQr4Vyw/mqdefault.jpg,FR,Other
sGJYu33oapk,other,,L  émission Innov Nation du 11 juillet 2023  présentée par Fleur Sitruk,no,,no,1689507254,2023-07-16 11:07:14,Fleur Sit,UCzRwHnxhvUkTXpoPuzRnCBQ,People & Blogs,,,45,0,,,0,0,https://i.ytimg.com/vi/sGJYu33oapk/mqdefault.jpg,FR,Other
V_0cMEh3uMQ,other,,La fête nationale Belge du 21/07/2023: l arrivée du roi Philippe de Belgique,no,,no,1690715597,2023-07-30 11:07:17,power2021 tv,UCgY9GBSrHqw-FKOo_5j0TEg,Education,fr-BE,fr-BE,78,1,,,0,1,https://i.ytimg.com/vi/V_0cMEh3uMQ/mqdefault.jpg,FR,Other
zJ-k2Yz1CKk,other,,Avant le défilé du 21/07/2023 : la fête nationale Belge,no,,no,1689941001,2023-07-21 12:07:21,power2021 tv,UCgY9GBSrHqw-FKOo_5j0TEg,Education,,fr-BE,1440,12,,,0,3,https://i.ytimg.com/vi/zJ-k2Yz1CKk/mqdefault.jpg,FR,Other
k7DXYW62oVc,other,,Exposition « Félins » à la Grande Galerie de l’Évolution  du 22 mars 2023 au 7 janvier 2024,no,,no,1679418444,2023-03-21 17:03:24,ftv,UC4m8Mw72CXQ0yV7R3woKDLQ,People & Blogs,,,293,0,,,0,0,https://i.ytimg.com/vi/k7DXYW62oVc/mqdefault.jpg,FR,Other
j-hWivu9QLE,other,,Budget participatif 2023 - Il vous reste un mois pour voter pour votre #projet préféré !,no,,no,1690805408,2023-07-31 12:07:08,Commune de Chaudfontaine,UC_wq39EzpPNSuMkEYC5uduQ,Education,fr,fr,12,1,,,0,0,https://i.ytimg.com/vi/j-hWivu9QLE/mqdefault.jpg,FR,Other
lkoFD4ygvmg,other,,Der Horror im Klassenzimmer | ARTE Juli 2023,no,,no,1690780502,2023-07-31 05:07:02,morf twitch as raw as possible,UCmcM95_vQiKx5KGYsxe3DTA,Gaming,,,189,9,,,0,0,https://i.ytimg.com/vi/lkoFD4ygvmg/mqdefault.jpg,FR,Other
FH3kfxRiyQc,other,,July 2023 Sustainability Series - Geothermal Heat Pump 101,no,,no,1690209331,2023-07-24 14:07:31,Destination Medical Center,UCV8WJx3-SwXXom4tmr7IjYA,Nonprofits & Activism,,en,110,1,,,0,1,https://i.ytimg.com/vi/FH3kfxRiyQc/mqdefault.jpg,FR,Other
K2YE9GolFZQ,other,,Breast Cancer Seminar Series July 2023:  ASCO 2023 Updates,no,,no,1690326092,2023-07-25 23:07:32,UW Breast Onc Research,UCbaMvo_exejniuYZ5T-xkQA,People & Blogs,,,35,0,,,0,0,https://i.ytimg.com/vi/K2YE9GolFZQ/mqdefault.jpg,FR,Other
vvqPsfg_9Jc,other,,July 18  2023 Metropolitan Planning Organization (MPO) Meeting,no,,no,1689777728,2023-07-19 14:07:08,Old Colony Planning Council,UCuBcYEmC0_6zDjYvvcCws_A,Nonprofits & Activism,en-US,en-US,3,,,,0,,https://i.ytimg.com/vi/vvqPsfg_9Jc/mqdefault.jpg,FR,Other
XZeYrtOcTz0,other,,ABC News Live - Monday  July 31st | ABC News,no,,no,1690864306,2023-08-01 04:08:46,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,News & Politics,,en-US,45135,578,,,0,,https://i.ytimg.com/vi/XZeYrtOcTz0/mqdefault.jpg,FR,Other
HHGJjFVPhiI,other,,tagesschau 20:00 Uhr  31.07.2023,no,,no,1690895035,2023-08-01 13:08:55,tagesschau,UC5NOEUbkLheQcaaRldYW5GA,News & Politics,de,de,3809,86,,,0,88,https://i.ytimg.com/vi/HHGJjFVPhiI/mqdefault.jpg,FR,Other
YP6ikIRekkA,other,,July 2023 - AMS and IPC in Aged Care,no,,no,1689912677,2023-07-21 04:07:17,NCAS Australia,UCEveM_wXJZjoTMmcG0wSj-A,Education,,,28,0,,,0,,https://i.ytimg.com/vi/YP6ikIRekkA/mqdefault.jpg,FR,Other
RNC_q7Wsy8Y,other,,PBS NewsHour full episode  July 31  2023,no,,no,1690899604,2023-08-01 14:08:04,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,,en-US,2923,44,,,0,,https://i.ytimg.com/vi/RNC_q7Wsy8Y/mqdefault.jpg,FR,Other
